Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
261569_at	AT1G01060	A. thaliana	longday	1	0.986737	2243.22,481.2,7.19888,4.78697,10.6717,150.279,1904.97,483.612,8.46222,6.00153,10.8894,135.684
261569_at	ct01-spike	A. thaliana	longday	1	0.986737	2009.52,676.144,9.45712,9.45712,9.45712,9.45712,2009.52,676.144,9.45712,9.45712,9.45712,9.45712
261055_at	AT1G01300	A. thaliana	longday	16	0.84689	242.85,166.517,257.12,287.329,228.536,260.762,231.354,96.5018,252.95,284.772,198.005,279.024
261055_at	ct16-box2	A. thaliana	longday	16	0.84689	252.27,131.51,252.27,252.27,252.27,252.27,252.27,131.51,252.27,252.27,252.27,252.27
259434_at	AT1G01490	A. thaliana	longday	1	0.898491	1569.96,1316.46,770.772,884.971,888.42,1044.24,1510.32,1126.26,871.258,871.824,954.296,1356.16
259434_at	cos_per_23_ph_1	A. thaliana	longday	1	0.898491	1403.58,1310.77,973.99,756.91,893.951,1237.13,1415.85,1237.13,893.951,756.91,973.99,1310.77
259436_at	AT1G01500	A. thaliana	longday	8	0.961736	16.9362,52.0911,75.0569,60.3221,20.4559,19.406,13.906,44.4155,79.249,68.6977,17.2291,17.2611
259436_at	ct09-box1	A. thaliana	longday	8	0.961736	13.1714,54.0426,67.6663,67.6663,26.7951,13.1714,13.1714,54.0426,67.6663,67.6663,26.7951,13.1714
259432_at	AT1G01520	A. thaliana	longday	4	0.992741	11.7446,67.3882,5.606,7.32917,9.423,6.27926,11.1671,60.218,7.2421,4.61058,7.53232,5.77256
259432_at	ct04-spike	A. thaliana	longday	4	0.992741	7.67067,63.8031,7.67067,7.67067,7.67067,7.67067,7.67067,63.8031,7.67067,7.67067,7.67067,7.67067
261534_at	AT1G01820	A. thaliana	longday	15	0.920649	156.438,99.71,233.061,258.122,192.254,267.124,171.151,114.502,253.253,247.011,241.602,233.995
261534_at	ct15-box2	A. thaliana	longday	15	0.920649	190.338,98.2579,236.379,236.379,236.379,236.379,190.338,98.2579,236.379,236.379,236.379,236.379
264123_at	AT1G02270	A. thaliana	longday	10	0.907009	65.9064,107.331,183.178,142.551,116.041,75.8344,75.4369,108.456,172.277,146.154,81.8339,103.352
264123_at	cos_per_23_ph_10	A. thaliana	longday	10	0.907009	74.1397,113.681,156.654,156.654,113.681,74.1397,80.7301,126.335,161.708,148.65,101.262,70.7176
259441_at	AT1G02300	A. thaliana	longday	8	0.920983	248.915,305.551,1214.18,919.968,565.218,538.209,313.017,287.087,1146.41,815.452,518.659,379.696
259441_at	ct09-spike	A. thaliana	longday	8	0.920983	423.351,423.351,1237.91,694.87,423.351,423.351,423.351,423.351,1237.91,694.87,423.351,423.351
259417_at	AT1G02340	A. thaliana	longday	0	0.817016	14.6422,15.0896,13.1372,8.99014,6.55539,8.95188,30.4654,25.6389,18.1397,8.90183,5.57206,7.78735
259417_at	cos_per_27_ph_0	A. thaliana	longday	0	0.817016	22.3899,19.0303,11.6584,6.21347,7.0825,13.5653,20.4388,22.1651,17.3534,9.88037,5.76691,8.32717
260914_at	AT1G02640	A. thaliana	longday	22	0.965483	182.664,52.0703,47.2754,40.1909,40.6823,171.633,178.068,48.5434,37.7738,44.8032,33.9005,252.54
260914_at	ct22-spike	A. thaliana	longday	22	0.965483	196.226,43.155,43.155,43.155,43.155,196.226,196.226,43.155,43.155,43.155,43.155,196.226
263114_at	AT1G03130	A. thaliana	longday	7	0.959749	2918.58,5660.49,6881.11,3254.97,2182.2,1523.52,2935.42,6130.33,6209.89,2834.78,2126.44,1750.24
263114_at	cos_per_23_ph_7	A. thaliana	longday	7	0.959749	2910.19,5505.19,6220.27,4283.23,1785.83,1424.93,3590.26,5943.54,5943.54,3590.26,1424.93,1785.83
264838_at	AT1G03430	A. thaliana	longday	10	0.861565	31.4213,41.84,56.3939,59.1396,28.6719,35.8351,25.0708,42.7978,70.8659,44.5923,35.1046,33.0298
264838_at	cos_per_22_ph_10	A. thaliana	longday	10	0.861565	28.3301,41.0899,56.4478,56.4478,41.0899,28.3301,33.0868,49.7985,58.9265,49.7985,33.0868,28.3301
264837_at	AT1G03600	A. thaliana	longday	8	0.830683	3619.55,4981.54,4427.52,4379.0,4063.78,2867.59,4122.73,4982.53,4452.67,4004.22,3965.86,3252.2
264837_at	ct09-box2	A. thaliana	longday	8	0.830683	3942.25,4395.29,4395.29,4395.29,4395.29,3036.19,3942.25,4395.29,4395.29,4395.29,4395.29,3036.19
263664_at	AT1G04250	A. thaliana	longday	3	0.913429	779.565,1050.95,612.452,606.767,647.575,589.369,665.283,912.069,636.289,502.529,658.897,468.528
263664_at	ct03-spike	A. thaliana	longday	3	0.913429	721.016,981.978,590.535,590.535,590.535,590.535,721.016,981.978,590.535,590.535,590.535,590.535
264609_at	AT1G04530	A. thaliana	longday	3	0.973008	260.333,432.035,199.507,134.828,190.354,153.114,298.576,458.007,192.661,128.146,159.657,188.419
264609_at	ct03-spike	A. thaliana	longday	3	0.973008	263.999,450.173,170.912,170.912,170.912,170.912,263.999,450.173,170.912,170.912,170.912,170.912
264605_at	AT1G04550	A. thaliana	longday	0	0.88558	120.539,96.429,65.0842,66.4274,60.5271,98.6144,154.1,113.221,54.3594,66.6234,80.9678,96.2192
264605_at	cos_per_24_ph_0	A. thaliana	longday	0	0.88558	124.986,107.206,71.6459,53.8659,71.6459,107.206,124.986,107.206,71.6459,53.8659,71.6459,107.206
264597_at	AT1G04620	A. thaliana	longday	16	0.982823	92.5809,63.012,89.9341,202.024,240.758,173.119,120.51,43.5364,79.3768,195.916,261.932,196.578
264597_at	cos_per_24_ph_16	A. thaliana	longday	16	0.982823	97.5431,48.4798,97.5431,195.67,244.733,195.67,97.5431,48.4798,97.5431,195.67,244.733,195.67
264613_at	AT1G04640	A. thaliana	longday	19	0.849988	433.212,263.518,333.641,349.923,398.598,480.952,386.274,258.909,249.34,360.271,371.665,402.279
264613_at	ct19-sine	A. thaliana	longday	19	0.849988	384.769,295.76,282.067,329.995,419.004,432.697,384.769,295.76,282.067,329.995,419.004,432.697
264608_at	AT1G04710	A. thaliana	longday	15	0.921021	92.2205,94.126,82.3537,98.5917,144.189,73.6292,53.3785,80.2504,72.3827,101.782,139.528,81.1304
264608_at	ct15-spike	A. thaliana	longday	15	0.921021	78.7446,78.7446,78.7446,99.8229,141.98,78.7446,78.7446,78.7446,78.7446,99.8229,141.98,78.7446
261177_at	AT1G04770	A. thaliana	longday	10	0.807983	137.152,334.271,189.787,184.209,286.122,129.925,109.951,255.402,218.843,208.198,301.68,110.801
