Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
261055_at	AT1G01300	A. thaliana	longday	16	0.84689	242.85,166.517,257.12,287.329,228.536,260.762,231.354,96.5018,252.95,284.772,198.005,279.024
261055_at	ct16-box2	A. thaliana	longday	16	0.84689	252.27,131.51,252.27,252.27,252.27,252.27,252.27,131.51,252.27,252.27,252.27,252.27
259432_at	AT1G01520	A. thaliana	longday	4	0.992741	11.7446,67.3882,5.606,7.32917,9.423,6.27926,11.1671,60.218,7.2421,4.61058,7.53232,5.77256
259432_at	ct04-spike	A. thaliana	longday	4	0.992741	7.67067,63.8031,7.67067,7.67067,7.67067,7.67067,7.67067,63.8031,7.67067,7.67067,7.67067,7.67067
261534_at	AT1G01820	A. thaliana	longday	15	0.920649	156.438,99.71,233.061,258.122,192.254,267.124,171.151,114.502,253.253,247.011,241.602,233.995
261534_at	ct15-box2	A. thaliana	longday	15	0.920649	190.338,98.2579,236.379,236.379,236.379,236.379,190.338,98.2579,236.379,236.379,236.379,236.379
259441_at	AT1G02300	A. thaliana	longday	8	0.920983	248.915,305.551,1214.18,919.968,565.218,538.209,313.017,287.087,1146.41,815.452,518.659,379.696
259441_at	ct09-spike	A. thaliana	longday	8	0.920983	423.351,423.351,1237.91,694.87,423.351,423.351,423.351,423.351,1237.91,694.87,423.351,423.351
264838_at	AT1G03430	A. thaliana	longday	10	0.861565	31.4213,41.84,56.3939,59.1396,28.6719,35.8351,25.0708,42.7978,70.8659,44.5923,35.1046,33.0298
264838_at	cos_per_22_ph_10	A. thaliana	longday	10	0.861565	28.3301,41.0899,56.4478,56.4478,41.0899,28.3301,33.0868,49.7985,58.9265,49.7985,33.0868,28.3301
263664_at	AT1G04250	A. thaliana	longday	3	0.913429	779.565,1050.95,612.452,606.767,647.575,589.369,665.283,912.069,636.289,502.529,658.897,468.528
263664_at	ct03-spike	A. thaliana	longday	3	0.913429	721.016,981.978,590.535,590.535,590.535,590.535,721.016,981.978,590.535,590.535,590.535,590.535
264609_at	AT1G04530	A. thaliana	longday	3	0.973008	260.333,432.035,199.507,134.828,190.354,153.114,298.576,458.007,192.661,128.146,159.657,188.419
264609_at	ct03-spike	A. thaliana	longday	3	0.973008	263.999,450.173,170.912,170.912,170.912,170.912,263.999,450.173,170.912,170.912,170.912,170.912
264605_at	AT1G04550	A. thaliana	longday	0	0.88558	120.539,96.429,65.0842,66.4274,60.5271,98.6144,154.1,113.221,54.3594,66.6234,80.9678,96.2192
264605_at	cos_per_24_ph_0	A. thaliana	longday	0	0.88558	124.986,107.206,71.6459,53.8659,71.6459,107.206,124.986,107.206,71.6459,53.8659,71.6459,107.206
264597_at	AT1G04620	A. thaliana	longday	16	0.982823	92.5809,63.012,89.9341,202.024,240.758,173.119,120.51,43.5364,79.3768,195.916,261.932,196.578
264597_at	cos_per_24_ph_16	A. thaliana	longday	16	0.982823	97.5431,48.4798,97.5431,195.67,244.733,195.67,97.5431,48.4798,97.5431,195.67,244.733,195.67
261129_at	AT1G04820	A. thaliana	longday	15	0.922213	1777.47,1509.44,1960.65,2124.59,2279.82,1839.83,1881.34,1417.75,1827.64,2124.43,2159.23,1912.11
261129_at	ct15-rigid	A. thaliana	longday	15	0.922213	1702.04,1569.28,1834.81,2100.34,2233.11,1967.57,1702.04,1569.28,1834.81,2100.34,2233.11,1967.57
260956_at	AT1G06040	A. thaliana	longday	6	0.930768	901.562,2857.57,1965.5,916.653,574.943,42.6966,942.82,2727.35,2109.51,951.847,570.449,25.3456
260956_at	ct06-sine	A. thaliana	longday	6	0.930768	1215.52,2271.34,2271.34,1215.52,159.708,159.708,1215.52,2271.34,2271.34,1215.52,159.708,159.708
256057_at	AT1G07180	A. thaliana	longday	3	0.97419	193.549,987.044,136.188,7.77561,50.4742,16.496,258.045,1009.09,202.617,7.34205,49.3436,14.2897
256057_at	ct03-spike	A. thaliana	longday	3	0.97419	346.29,957.904,40.4836,40.4836,40.4836,40.4836,346.29,957.904,40.4836,40.4836,40.4836,40.4836
261076_at	AT1G07420	A. thaliana	longday	13	0.938524	44.1966,52.7559,171.987,144.279,152.579,100.297,52.3074,39.1307,172.493,166.159,153.961,90.7608
261076_at	ct13-box1	A. thaliana	longday	13	0.938524	55.5979,55.5979,139.814,167.886,167.886,83.67,55.5979,55.5979,139.814,167.886,167.886,83.67
261065_at	AT1G07500	A. thaliana	longday	2	0.977077	15.1861,14.6316,5.25045,5.63232,5.8919,5.79921,12.0123,12.5997,6.05292,5.21621,5.11525,5.98331
261065_at	ct02-spike	A. thaliana	longday	2	0.977077	13.6074,13.6074,5.6177,5.6177,5.6177,5.6177,13.6074,13.6074,5.6177,5.6177,5.6177,5.6177
261417_at	AT1G07700	A. thaliana	longday	3	0.85461	539.708,711.958,472.301,320.77,393.771,226.041,389.524,712.079,448.59,251.449,384.365,207.143
261417_at	ct03-spike	A. thaliana	longday	3	0.85461	463.055,712.538,338.314,338.314,338.314,338.314,463.055,712.538,338.314,338.314,338.314,338.314
264799_at	AT1G08550	A. thaliana	longday	13	0.941585	259.388,262.433,923.242,880.676,755.91,456.42,375.692,230.364,722.006,835.747,779.279,550.997
264799_at	ct13-box1	A. thaliana	longday	13	0.941585	314.607,314.607,721.716,857.419,857.419,450.31,314.607,314.607,721.716,857.419,857.419,450.31
264653_at	AT1G08980	A. thaliana	longday	14	0.852129	112.251,13.5159,393.672,335.576,200.548,352.309,150.332,18.6154,325.417,381.394,229.745,478.982
264653_at	ct14-box2	A. thaliana	longday	14	0.852129	73.6786,73.6786,337.205,337.205,337.205,337.205,73.6786,73.6786,337.205,337.205,337.205,337.205
264673_at	AT1G09795	A. thaliana	longday	15	0.947776	235.25,138.052,274.576,339.281,385.83,267.18,231.996,149.565,228.325,398.242,462.828,277.532
264673_at	ct15-rigid	A. thaliana	longday	15	0.947776	204.006,151.751,256.261,360.771,413.026,308.516,204.006,151.751,256.261,360.771,413.026,308.516
264525_at	AT1G10060	A. thaliana	longday	10	0.928406	7.25146,9.09167,17.9862,23.4287,10.4716,8.24095,8.35681,8.38772,21.5995,18.9021,13.7348,11.4023
264525_at	ct10-spike	A. thaliana	longday	10	0.928406	9.61716,9.61716,20.4791,20.4791,9.61716,9.61716,9.61716,9.61716,20.4791,20.4791,9.61716,9.61716
264463_at	AT1G10150	A. thaliana	longday	3	0.901247	173.27,217.996,166.065,118.317,124.927,176.208,234.585,234.092,179.372,153.037,132.994,187.605
264463_at	cos_per_23_ph_3	A. thaliana	longday	3	0.901247	207.245,220.942,183.839,136.004,129.091,170.566,215.641,215.641,170.566,129.091,136.004,183.839
264462_at	AT1G10200	A. thaliana	longday	15	0.895018	997.207,805.958,1305.58,1467.48,1125.09,1344.3,1048.64,655.729,1356.52,1447.71,1126.64,1354.83
264462_at	ct15-box2	A. thaliana	longday	15	0.895018	1103.14,704.107,1302.65,1302.65,1302.65,1302.65,1103.14,704.107,1302.65,1302.65,1302.65,1302.65
262783_at	AT1G10850	A. thaliana	longday	2	0.892165	78.0234,83.0347,54.4868,50.7972,59.8134,55.258,77.7608,68.6246,56.8854,41.2699,57.1491,44.6703
262783_at	ct02-spike	A. thaliana	longday	2	0.892165	76.8609,76.8609,52.5413,52.5413,52.5413,52.5413,76.8609,76.8609,52.5413,52.5413,52.5413,52.5413
260466_at	AT1G10900	A. thaliana	longday	5	0.882509	43.003,152.576,105.555,71.5673,41.3575,63.5107,56.6473,112.202,85.4184,66.3073,81.206,54.5205
260466_at	ct05-spike	A. thaliana	longday	5	0.882509	61.335,135.529,86.0663,61.335,61.335,61.335,61.335,135.529,86.0663,61.335,61.335,61.335
262455_at	AT1G11310	A. thaliana	longday	15	0.928042	186.424,133.205,223.39,363.272,328.006,315.006,201.985,121.607,294.969,400.305,328.321,310.476
262455_at	cos_per_23_ph_15	A. thaliana	longday	15	0.928042	201.672,153.381,229.876,348.553,381.255,292.669,178.456,161.951,260.977,368.6,368.6,260.977
261203_at	AT1G12845	A. thaliana	longday	10	0.922323	49.4623,141.841,607.428,441.154,194.305,118.514,49.0736,163.831,498.218,388.612,239.483,95.6261
261203_at	ct10-spike	A. thaliana	longday	10	0.922323	131.517,131.517,483.853,483.853,131.517,131.517,131.517,131.517,483.853,483.853,131.517,131.517
262826_at	AT1G13080	A. thaliana	longday	2	0.92021	693.449,922.36,363.385,245.243,353.725,468.514,684.675,834.261,396.957,233.76,399.978,415.828
262826_at	ct02-spike	A. thaliana	longday	2	0.92021	783.687,783.687,359.674,359.674,359.674,359.674,783.687,783.687,359.674,359.674,359.674,359.674
259363_at	AT1G13270	A. thaliana	longday	14	0.891281	230.63,134.002,367.792,449.255,409.045,363.034,223.444,123.622,294.681,615.806,438.264,419.176
259363_at	ct14-sine	A. thaliana	longday	14	0.891281	188.978,188.978,339.062,489.147,489.147,339.062,188.978,188.978,339.062,489.147,489.147,339.062
262842_at	AT1G14720	A. thaliana	longday	16	0.917146	457.196,212.732,443.548,444.544,410.474,496.761,349.591,200.773,429.353,428.66,384.188,464.813
262842_at	ct16-box2	A. thaliana	longday	16	0.917146	430.913,206.753,430.913,430.913,430.913,430.913,430.913,206.753,430.913,430.913,430.913,430.913
262604_at	AT1G15060	A. thaliana	longday	5	0.971659	53.8596,165.824,93.9451,59.3836,69.6343,37.0317,56.0658,165.284,78.7907,55.1048,53.2347,29.9809
262604_at	ct05-spike	A. thaliana	longday	5	0.971659	51.3313,164.643,89.1018,51.3313,51.3313,51.3313,51.3313,164.643,89.1018,51.3313,51.3313,51.3313
259504_at	AT1G15690	A. thaliana	longday	17	0.953223	3149.97,2881.95,3201.5,3603.31,3879.84,3814.79,3504.55,3043.69,3217.0,3630.48,3660.11,3987.74
259504_at	cos_per_26_ph_17	A. thaliana	longday	17	0.953223	3223.68,3030.46,3223.68,3636.42,3912.13,3812.63,3423.88,3081.7,3081.7,3423.88,3812.63,3912.13
259491_at	AT1G15820	A. thaliana	longday	6	0.967622	5594.56,7607.99,7977.21,6016.25,4061.61,2638.29,5538.7,8547.67,7988.29,5331.37,4376.67,3127.75
259491_at	ct06-rigid	A. thaliana	longday	6	0.967622	5733.86,7973.47,7973.47,5733.86,3494.26,3494.26,5733.86,7973.47,7973.47,5733.86,3494.26,3494.26
261792_at	AT1G15950	A. thaliana	longday	5	0.840956	646.69,966.539,726.563,504.346,747.263,584.364,750.412,906.485,753.096,537.594,658.947,522.5
261792_at	ct05-spike	A. thaliana	longday	5	0.840956	621.058,940.598,727.571,621.058,621.058,621.058,621.058,940.598,727.571,621.058,621.058,621.058
256117_at	AT1G16840	A. thaliana	longday	12	0.959549	142.258,139.135,259.999,338.66,231.75,172.525,129.122,139.556,255.736,305.944,242.955,180.554
256117_at	cos_per_24_ph_12	A. thaliana	longday	12	0.959549	119.423,165.469,257.563,303.61,257.563,165.469,119.423,165.469,257.563,303.61,257.563,165.469
256075_at	AT1G18150	A. thaliana	longday	9	0.911391	85.8457,205.167,227.636,183.616,153.373,114.261,108.598,173.976,276.507,216.621,160.691,131.115
256075_at	cos_per_24_ph_9	A. thaliana	longday	9	0.911391	121.193,187.57,236.161,218.376,151.998,103.407,121.193,187.57,236.161,218.376,151.998,103.407
261667_at	AT1G18460	A. thaliana	longday	2	0.945227	476.165,507.097,272.271,135.817,233.046,209.344,420.712,509.938,260.548,135.128,180.975,210.276
261667_at	ct02-spike	A. thaliana	longday	2	0.945227	478.478,478.478,204.676,204.676,204.676,204.676,478.478,478.478,204.676,204.676,204.676,204.676
261407_at	AT1G18810	A. thaliana	longday	2	0.874977	87.1368,166.121,63.8188,29.6215,61.6992,39.6474,148.032,126.302,77.8481,32.9462,52.7944,37.3985
261407_at	ct02-spike	A. thaliana	longday	2	0.874977	131.898,131.898,49.4718,49.4718,49.4718,49.4718,131.898,131.898,49.4718,49.4718,49.4718,49.4718
260676_at	AT1G19450	A. thaliana	longday	1	0.979839	1547.37,1361.99,935.798,474.325,720.194,1223.18,1398.22,1168.52,957.506,461.812,659.549,1099.43
260676_at	ct01-rigid	A. thaliana	longday	1	0.979839	1498.12,1299.13,901.166,503.198,702.182,1100.15,1498.12,1299.13,901.166,503.198,702.182,1100.15
261220_at	AT1G19970	A. thaliana	longday	4	0.885076	19.0511,34.7488,14.8998,12.452,17.9605,12.3187,13.1528,26.8297,14.6101,9.82233,15.5917,8.19816
261220_at	ct04-spike	A. thaliana	longday	4	0.885076	13.8057,30.7893,13.8057,13.8057,13.8057,13.8057,13.8057,30.7893,13.8057,13.8057,13.8057,13.8057
261224_at	AT1G20160	A. thaliana	longday	4	0.894341	66.5967,135.811,97.5103,39.4224,30.2278,81.5383,94.1777,155.093,78.3108,66.6649,43.1691,69.9894
261224_at	ct04-rigid	A. thaliana	longday	4	0.894341	96.5009,129.751,96.5009,63.2509,30.0009,63.2509,96.5009,129.751,96.5009,63.2509,30.0009,63.2509
259544_at	AT1G20620	A. thaliana	longday	12	0.948871	3726.46,4012.24,6408.44,6694.28,6008.49,4133.36,3124.98,3794.17,7108.43,6630.3,5299.86,4465.04
259544_at	cos_per_23_ph_12	A. thaliana	longday	12	0.948871	3434.0,4166.75,6001.69,6957.32,6001.69,4166.75,3434.0,4594.71,6395.47,6891.68,5547.51,3814.49
259517_at	AT1G20630	A. thaliana	longday	10	0.939215	165.623,125.803,455.549,382.803,220.758,230.786,186.021,104.734,443.32,383.558,176.15,228.63
259517_at	ct10-spike	A. thaliana	longday	10	0.939215	179.813,179.813,416.308,416.308,179.813,179.813,179.813,179.813,416.308,416.308,179.813,179.813
256092_at	AT1G20696	A. thaliana	longday	14	0.89322	1410.4,1359.83,2406.88,2390.81,1820.81,2154.97,1764.66,1192.37,2285.38,2396.15,2273.63,2174.89
256092_at	ct14-box2	A. thaliana	longday	14	0.89322	1431.82,1431.82,2237.94,2237.94,2237.94,2237.94,1431.82,1431.82,2237.94,2237.94,2237.94,2237.94
