Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
259432_at	AT1G01520	A. thaliana	longday	4	0.992741	11.7446,67.3882,5.606,7.32917,9.423,6.27926,11.1671,60.218,7.2421,4.61058,7.53232,5.77256
259432_at	ct04-spike	A. thaliana	longday	4	0.992741	7.67067,63.8031,7.67067,7.67067,7.67067,7.67067,7.67067,63.8031,7.67067,7.67067,7.67067,7.67067
263664_at	AT1G04250	A. thaliana	longday	3	0.913429	779.565,1050.95,612.452,606.767,647.575,589.369,665.283,912.069,636.289,502.529,658.897,468.528
263664_at	ct03-spike	A. thaliana	longday	3	0.913429	721.016,981.978,590.535,590.535,590.535,590.535,721.016,981.978,590.535,590.535,590.535,590.535
264609_at	AT1G04530	A. thaliana	longday	3	0.973008	260.333,432.035,199.507,134.828,190.354,153.114,298.576,458.007,192.661,128.146,159.657,188.419
264609_at	ct03-spike	A. thaliana	longday	3	0.973008	263.999,450.173,170.912,170.912,170.912,170.912,263.999,450.173,170.912,170.912,170.912,170.912
264605_at	AT1G04550	A. thaliana	longday	0	0.88558	120.539,96.429,65.0842,66.4274,60.5271,98.6144,154.1,113.221,54.3594,66.6234,80.9678,96.2192
264605_at	cos_per_24_ph_0	A. thaliana	longday	0	0.88558	124.986,107.206,71.6459,53.8659,71.6459,107.206,124.986,107.206,71.6459,53.8659,71.6459,107.206
256057_at	AT1G07180	A. thaliana	longday	3	0.97419	193.549,987.044,136.188,7.77561,50.4742,16.496,258.045,1009.09,202.617,7.34205,49.3436,14.2897
256057_at	ct03-spike	A. thaliana	longday	3	0.97419	346.29,957.904,40.4836,40.4836,40.4836,40.4836,346.29,957.904,40.4836,40.4836,40.4836,40.4836
262783_at	AT1G10850	A. thaliana	longday	2	0.892165	78.0234,83.0347,54.4868,50.7972,59.8134,55.258,77.7608,68.6246,56.8854,41.2699,57.1491,44.6703
262783_at	ct02-spike	A. thaliana	longday	2	0.892165	76.8609,76.8609,52.5413,52.5413,52.5413,52.5413,76.8609,76.8609,52.5413,52.5413,52.5413,52.5413
262604_at	AT1G15060	A. thaliana	longday	5	0.971659	53.8596,165.824,93.9451,59.3836,69.6343,37.0317,56.0658,165.284,78.7907,55.1048,53.2347,29.9809
262604_at	ct05-spike	A. thaliana	longday	5	0.971659	51.3313,164.643,89.1018,51.3313,51.3313,51.3313,51.3313,164.643,89.1018,51.3313,51.3313,51.3313
261407_at	AT1G18810	A. thaliana	longday	2	0.874977	87.1368,166.121,63.8188,29.6215,61.6992,39.6474,148.032,126.302,77.8481,32.9462,52.7944,37.3985
261407_at	ct02-spike	A. thaliana	longday	2	0.874977	131.898,131.898,49.4718,49.4718,49.4718,49.4718,131.898,131.898,49.4718,49.4718,49.4718,49.4718
260676_at	AT1G19450	A. thaliana	longday	1	0.979839	1547.37,1361.99,935.798,474.325,720.194,1223.18,1398.22,1168.52,957.506,461.812,659.549,1099.43
260676_at	ct01-rigid	A. thaliana	longday	1	0.979839	1498.12,1299.13,901.166,503.198,702.182,1100.15,1498.12,1299.13,901.166,503.198,702.182,1100.15
261220_at	AT1G19970	A. thaliana	longday	4	0.885076	19.0511,34.7488,14.8998,12.452,17.9605,12.3187,13.1528,26.8297,14.6101,9.82233,15.5917,8.19816
261220_at	ct04-spike	A. thaliana	longday	4	0.885076	13.8057,30.7893,13.8057,13.8057,13.8057,13.8057,13.8057,30.7893,13.8057,13.8057,13.8057,13.8057
264728_at	AT1G22850	A. thaliana	longday	5	0.909417	626.064,1302.3,851.923,672.987,847.757,543.245,732.12,1230.31,853.489,615.51,889.485,590.937
264728_at	ct05-spike	A. thaliana	longday	5	0.909417	685.776,1258.33,876.628,685.776,685.776,685.776,685.776,1258.33,876.628,685.776,685.776,685.776
261191_at	AT1G32900	A. thaliana	longday	3	0.978505	475.761,1406.32,162.734,16.8964,123.074,34.2965,382.058,1189.96,294.549,10.5717,52.7463,13.9331
261191_at	ct03-spike	A. thaliana	longday	3	0.978505	480.349,1280.99,80.0267,80.0267,80.0267,80.0267,480.349,1280.99,80.0267,80.0267,80.0267,80.0267
259460_at	AT1G44000	A. thaliana	longday	1	0.913829	1055.55,1121.88,648.012,410.781,701.732,762.373,1069.97,1155.67,611.584,354.871,702.465,725.542
259460_at	ct01-rigid	A. thaliana	longday	1	0.913829	1121.26,983.438,707.79,432.141,569.965,845.614,1121.26,983.438,707.79,432.141,569.965,845.614
262473_at	AT1G50250	A. thaliana	longday	5	0.88474	950.595,1460.02,1061.96,857.972,1049.27,898.132,1164.16,1468.4,1139.66,880.066,1130.78,928.118
262473_at	ct05-spike	A. thaliana	longday	5	0.88474	976.634,1452.71,1135.33,976.634,976.634,976.634,976.634,1452.71,1135.33,976.634,976.634,976.634
260603_at	AT1G55960	A. thaliana	longday	3	0.965912	387.789,781.757,217.011,46.5263,97.1559,50.9354,238.878,891.456,236.11,43.6423,80.234,53.5171
260603_at	ct03-spike	A. thaliana	longday	3	0.965912	341.394,827.253,98.4647,98.4647,98.4647,98.4647,341.394,827.253,98.4647,98.4647,98.4647,98.4647
261958_at	AT1G64500	A. thaliana	longday	2	0.960402	292.365,397.769,24.7257,23.0555,91.7513,86.849,427.443,314.266,33.3657,20.0661,89.4264,80.4322
261958_at	ct02-spike	A. thaliana	longday	2	0.960402	357.961,357.961,56.209,56.209,56.209,56.209,357.961,357.961,56.209,56.209,56.209,56.209
262879_at	AT1G64860	A. thaliana	longday	2	0.89443	681.697,897.444,479.036,208.186,417.38,330.138,698.21,809.366,473.828,172.991,355.09,354.888
262879_at	ct02-spike	A. thaliana	longday	2	0.89443	771.679,771.679,348.942,348.942,348.942,348.942,771.679,771.679,348.942,348.942,348.942,348.942
260137_at	AT1G66330	A. thaliana	longday	5	0.900615	315.445,623.09,395.123,70.384,242.765,182.698,344.399,697.242,461.795,84.7244,224.486,151.404
260137_at	ct05-spike	A. thaliana	longday	5	0.900615	212.09,680.269,368.15,212.09,212.09,212.09,212.09,680.269,368.15,212.09,212.09,212.09
260308_at	AT1G70610	A. thaliana	longday	5	0.945301	72.2041,204.414,92.9883,52.5684,77.7324,40.5313,60.9156,218.302,100.538,50.945,106.502,35.536
260308_at	ct05-spike	A. thaliana	longday	5	0.945301	60.0577,207.24,109.118,60.0577,60.0577,60.0577,60.0577,207.24,109.118,60.0577,60.0577,60.0577
262290_at	AT1G70985	A. thaliana	longday	5	0.88579	8.22165,14.0479,8.85995,8.61452,9.64647,6.33842,10.3901,15.8133,10.4611,7.11642,9.32753,9.09596
262290_at	ct05-spike	A. thaliana	longday	5	0.88579	8.4513,14.6455,10.516,8.4513,8.4513,8.4513,8.4513,14.6455,10.516,8.4513,8.4513,8.4513
259922_at	AT1G72770	A. thaliana	longday	3	0.915357	602.995,983.658,155.778,225.415,490.367,254.085,503.985,882.878,335.535,274.936,512.064,271.905
259922_at	ct03-spike	A. thaliana	longday	3	0.915357	526.986,942.102,319.428,319.428,319.428,319.428,526.986,942.102,319.428,319.428,319.428,319.428
262940_at	AT1G79520	A. thaliana	longday	5	0.919599	265.967,583.97,259.428,154.799,251.244,141.425,211.678,603.17,317.839,141.738,305.084,75.8433
