Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
261569_at	AT1G01060	A. thaliana	longday	1	0.986737	2243.22,481.2,7.19888,4.78697,10.6717,150.279,1904.97,483.612,8.46222,6.00153,10.8894,135.684
261569_at	ct01-spike	A. thaliana	longday	1	0.986737	2009.52,676.144,9.45712,9.45712,9.45712,9.45712,2009.52,676.144,9.45712,9.45712,9.45712,9.45712
259436_at	AT1G01500	A. thaliana	longday	8	0.961736	16.9362,52.0911,75.0569,60.3221,20.4559,19.406,13.906,44.4155,79.249,68.6977,17.2291,17.2611
259436_at	ct09-box1	A. thaliana	longday	8	0.961736	13.1714,54.0426,67.6663,67.6663,26.7951,13.1714,13.1714,54.0426,67.6663,67.6663,26.7951,13.1714
264123_at	AT1G02270	A. thaliana	longday	10	0.907009	65.9064,107.331,183.178,142.551,116.041,75.8344,75.4369,108.456,172.277,146.154,81.8339,103.352
264123_at	cos_per_23_ph_10	A. thaliana	longday	10	0.907009	74.1397,113.681,156.654,156.654,113.681,74.1397,80.7301,126.335,161.708,148.65,101.262,70.7176
259417_at	AT1G02340	A. thaliana	longday	0	0.817016	14.6422,15.0896,13.1372,8.99014,6.55539,8.95188,30.4654,25.6389,18.1397,8.90183,5.57206,7.78735
259417_at	cos_per_27_ph_0	A. thaliana	longday	0	0.817016	22.3899,19.0303,11.6584,6.21347,7.0825,13.5653,20.4388,22.1651,17.3534,9.88037,5.76691,8.32717
260914_at	AT1G02640	A. thaliana	longday	22	0.965483	182.664,52.0703,47.2754,40.1909,40.6823,171.633,178.068,48.5434,37.7738,44.8032,33.9005,252.54
260914_at	ct22-spike	A. thaliana	longday	22	0.965483	196.226,43.155,43.155,43.155,43.155,196.226,196.226,43.155,43.155,43.155,43.155,196.226
263114_at	AT1G03130	A. thaliana	longday	7	0.959749	2918.58,5660.49,6881.11,3254.97,2182.2,1523.52,2935.42,6130.33,6209.89,2834.78,2126.44,1750.24
263114_at	cos_per_23_ph_7	A. thaliana	longday	7	0.959749	2910.19,5505.19,6220.27,4283.23,1785.83,1424.93,3590.26,5943.54,5943.54,3590.26,1424.93,1785.83
264837_at	AT1G03600	A. thaliana	longday	8	0.830683	3619.55,4981.54,4427.52,4379.0,4063.78,2867.59,4122.73,4982.53,4452.67,4004.22,3965.86,3252.2
264837_at	ct09-box2	A. thaliana	longday	8	0.830683	3942.25,4395.29,4395.29,4395.29,4395.29,3036.19,3942.25,4395.29,4395.29,4395.29,4395.29,3036.19
264613_at	AT1G04640	A. thaliana	longday	19	0.849988	433.212,263.518,333.641,349.923,398.598,480.952,386.274,258.909,249.34,360.271,371.665,402.279
264613_at	ct19-sine	A. thaliana	longday	19	0.849988	384.769,295.76,282.067,329.995,419.004,432.697,384.769,295.76,282.067,329.995,419.004,432.697
264608_at	AT1G04710	A. thaliana	longday	15	0.921021	92.2205,94.126,82.3537,98.5917,144.189,73.6292,53.3785,80.2504,72.3827,101.782,139.528,81.1304
264608_at	ct15-spike	A. thaliana	longday	15	0.921021	78.7446,78.7446,78.7446,99.8229,141.98,78.7446,78.7446,78.7446,78.7446,99.8229,141.98,78.7446
261125_at	AT1G04990	A. thaliana	longday	12	0.962857	89.7268,82.0007,165.394,220.939,177.929,81.0361,46.9438,57.1914,161.156,202.547,200.352,61.5643
261125_at	ct12-sine	A. thaliana	longday	12	0.962857	53.6106,78.7065,179.09,204.186,179.09,78.7065,53.6106,78.7065,179.09,204.186,179.09,78.7065
257451_at	AT1G05690	A. thaliana	longday	2	0.958167	23.2285,19.8792,11.9276,10.3448,11.5637,9.29465,24.4697,20.5953,10.9088,8.86752,12.9637,12.3665
257451_at	ct02-spike	A. thaliana	longday	2	0.958167	22.0432,22.0432,11.0297,11.0297,11.0297,11.0297,22.0432,22.0432,11.0297,11.0297,11.0297,11.0297
261253_at	AT1G05840	A. thaliana	longday	21	0.910447	69.7885,49.2787,40.9774,35.9603,27.9881,112.242,112.195,52.198,49.8495,43.4201,35.8841,136.202
261253_at	ct21-spike	A. thaliana	longday	21	0.910447	73.3015,44.8929,44.8929,44.8929,44.8929,130.119,73.3015,44.8929,44.8929,44.8929,44.8929,130.119
262626_at	AT1G06430	A. thaliana	longday	5	0.936818	532.757,1598.78,845.445,543.851,756.694,454.834,614.833,1420.5,976.654,724.68,819.996,388.893
262626_at	ct05-spike	A. thaliana	longday	5	0.936818	605.221,1510.95,907.129,605.221,605.221,605.221,605.221,1510.95,907.129,605.221,605.221,605.221
262629_at	AT1G06460	A. thaliana	longday	11	0.973095	413.075,694.564,2040.25,2283.2,1472.74,753.073,508.369,733.465,2155.62,2232.04,1326.43,653.63
262629_at	ct11-sine	A. thaliana	longday	11	0.973095	387.679,950.559,1995.91,2156.73,1593.85,548.502,387.679,950.559,1995.91,2156.73,1593.85,548.502
262632_at	AT1G06680	A. thaliana	longday	9	0.90834	6236.02,6932.75,7308.39,7050.14,7062.82,5499.92,6030.34,7489.94,7791.81,6803.47,6109.12,5644.92
262632_at	cos_per_23_ph_9	A. thaliana	longday	9	0.90834	6001.56,6881.91,7564.72,7312.65,6397.9,5808.28,6180.51,7112.62,7598.06,7112.62,6180.51,5808.28
260829_s_at	AT1G06870	A. thaliana	longday	21	0.809747	722.834,479.444,574.191,687.729,624.054,992.795,750.859,471.841,603.282,691.505,714.175,816.403
260829_s_at	ct21-spike	A. thaliana	longday	21	0.809747	711.105,610.068,610.068,610.068,610.068,913.18,711.105,610.068,610.068,610.068,610.068,913.18
261075_at	AT1G07280	A. thaliana	longday	13	0.988265	217.413,384.291,763.664,1011.55,949.255,456.387,274.264,392.586,731.445,897.817,948.055,522.82
261075_at	ct13-sine	A. thaliana	longday	13	0.988265	279.171,342.8,756.386,979.086,915.458,501.872,279.171,342.8,756.386,979.086,915.458,501.872
261084_at	AT1G07440	A. thaliana	longday	13	0.919985	102.445,195.654,250.35,314.121,329.175,217.471,99.3132,214.257,272.806,295.975,359.457,199.639
261084_at	cos_per_24_ph_13	A. thaliana	longday	13	0.919985	137.911,164.611,264.255,337.199,310.5,210.856,137.911,164.611,264.255,337.199,310.5,210.856
261089_at	AT1G07570	A. thaliana	longday	0	0.857263	102.456,27.7526,18.3727,13.7775,12.9013,24.1834,47.0437,24.7294,18.5572,11.0294,14.8204,25.4026
261089_at	ct00-spike	A. thaliana	longday	0	0.857263	74.7499,19.1526,19.1526,19.1526,19.1526,19.1526,74.7499,19.1526,19.1526,19.1526,19.1526,19.1526
