Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
257451_at	AT1G05690	A. thaliana	longday	2	0.958167	23.2285,19.8792,11.9276,10.3448,11.5637,9.29465,24.4697,20.5953,10.9088,8.86752,12.9637,12.3665
257451_at	ct02-spike	A. thaliana	longday	2	0.958167	22.0432,22.0432,11.0297,11.0297,11.0297,11.0297,22.0432,22.0432,11.0297,11.0297,11.0297,11.0297
262626_at	AT1G06430	A. thaliana	longday	5	0.936818	532.757,1598.78,845.445,543.851,756.694,454.834,614.833,1420.5,976.654,724.68,819.996,388.893
262626_at	ct05-spike	A. thaliana	longday	5	0.936818	605.221,1510.95,907.129,605.221,605.221,605.221,605.221,1510.95,907.129,605.221,605.221,605.221
261089_at	AT1G07570	A. thaliana	longday	0	0.857263	102.456,27.7526,18.3727,13.7775,12.9013,24.1834,47.0437,24.7294,18.5572,11.0294,14.8204,25.4026
261089_at	ct00-spike	A. thaliana	longday	0	0.857263	74.7499,19.1526,19.1526,19.1526,19.1526,19.1526,74.7499,19.1526,19.1526,19.1526,19.1526,19.1526
264436_at	AT1G10370	A. thaliana	longday	4	0.979889	270.431,1932.63,422.904,218.632,464.259,139.012,290.806,1908.36,488.624,264.827,469.48,102.827
264436_at	ct04-spike	A. thaliana	longday	4	0.979889	313.18,1920.49,313.18,313.18,313.18,313.18,313.18,1920.49,313.18,313.18,313.18,313.18
256096_at	AT1G13650	A. thaliana	longday	5	0.969905	60.5696,328.046,138.329,10.7197,33.3237,12.9788,64.1606,311.408,202.377,7.73106,29.0204,11.0841
256096_at	ct05-spike	A. thaliana	longday	5	0.969905	34.7865,331.903,133.825,34.7865,34.7865,34.7865,34.7865,331.903,133.825,34.7865,34.7865,34.7865
256076_at	AT1G18060	A. thaliana	longday	5	0.901698	667.811,1233.23,1005.68,800.565,923.927,574.158,718.677,1333.45,1007.9,741.326,847.073,606.688
256076_at	ct05-spike	A. thaliana	longday	5	0.901698	747.163,1307.61,933.98,747.163,747.163,747.163,747.163,1307.61,933.98,747.163,747.163,747.163
259791_at	AT1G29700	A. thaliana	longday	5	0.922457	171.975,485.586,307.561,202.863,250.805,115.049,190.354,505.678,391.058,193.531,278.068,154.886
259791_at	ct05-spike	A. thaliana	longday	5	0.922457	202.096,510.442,304.878,202.096,202.096,202.096,202.096,510.442,304.878,202.096,202.096,202.096
261618_at	AT1G33110	A. thaliana	longday	1	0.850879	216.3,204.89,82.2803,56.1283,158.743,114.065,372.941,236.073,83.9996,77.8216,126.762,108.875
261618_at	ct01-spike	A. thaliana	longday	1	0.850879	309.589,175.575,108.569,108.569,108.569,108.569,309.589,175.575,108.569,108.569,108.569,108.569
261635_at	AT1G50020	A. thaliana	longday	5	0.801958	493.927,979.28,708.168,595.087,851.103,482.658,533.45,1042.17,739.626,539.238,774.199,408.915
261635_at	ct05-spike	A. thaliana	longday	5	0.801958	584.428,1009.93,726.263,584.428,584.428,584.428,584.428,1009.93,726.263,584.428,584.428,584.428
264636_at	AT1G65490	A. thaliana	longday	1	0.939734	849.204,510.545,76.6247,44.3203,299.044,213.584,802.979,529.075,82.6039,24.7179,233.094,136.282
